toolchain	toolchainversion	moduleversionsuffix	count
GCCcore	6.4.0	-bare	1
GCCcore	6.4.0	-cairo-1.14.12	2
GCCcore	6.4.0	-clientonly	1
GCCcore	6.4.0	-Ghostscript-9.22-cairo-1.14.12	1
GCCcore	6.4.0	-Ghostscript-9.23-cairo-1.14.12	1
GCCcore	6.4.0	-libxml2-2.9.7	1
GCCcore	6.4.0	-no_mpi	1
GCCcore	6.4.0	-Perl-5.26.0	3
GCCcore	6.4.0	-Perl-5.26.1	6
GCCcore	6.4.0	-Python-2.7.14-bare	1
GCCcore	6.4.0	-X11-20180131	1
GCCcore	7.1.0		6
GCCcore	7.2.0		39
GCCcore	7.2.0	-bare	1
GCCcore	7.3.0		227
GCCcore	7.3.0	-bare	1
GCCcore	7.3.0	-native	1
GCCcore	7.3.0	-Perl-5.28.0	7
GCCcore	7.3.0	-Python-2.7.15-bare	1
GCCcore	7.4.0		6
GCCcore	8.1.0		7
GCCcore	8.2.0		345
GCCcore	8.2.0	-bare	1
GCCcore	8.2.0	-CUDA-10.1.105	1
GCCcore	8.2.0	-hpcx	1
GCCcore	8.2.0	-Java-1.8	2
GCCcore	8.2.0	-Java-11	3
GCCcore	8.2.0	-largefiles	1
GCCcore	8.2.0	-nodocs	1
GCCcore	8.2.0	-Perl-5.28.1	7
GCCcore	8.2.0	-python	1
GCCcore	8.2.0	-Python-2.7.15	9
GCCcore	8.2.0	-Python-3.7.2	23
GCCcore	8.2.0	-tools	1
GCCcore	8.3.0		389
GCCcore	8.3.0	-bare	1
GCCcore	8.3.0	-Java-1.8	2
GCCcore	8.3.0	-Java-11	6
GCCcore	8.3.0	-Java-11-Python-3.7.4	1
GCCcore	8.3.0	-minimal	2
GCCcore	8.3.0	-native	1
GCCcore	8.3.0	-nodocs	1
GCCcore	8.3.0	-Python-2.7.16	7
GCCcore	8.3.0	-Python-3.7.4	41
GCCcore	8.3.0	-tools	1
GCCcore	8.4.0		6
GCCcore	9.1.0		6
GCCcore	9.2.0		16
GCCcore	9.3.0		384
GCCcore	9.3.0	-amd	2
GCCcore	9.3.0	-bare	1
GCCcore	9.3.0	-CUDA-11.0.2	3
GCCcore	9.3.0	-Java-1.8	3
GCCcore	9.3.0	-Java-11	4
GCCcore	9.3.0	-Java-11-Python-3.8.2	1
GCCcore	9.3.0	-Java-13	1
GCCcore	9.3.0	-Java-13-Python-3.8.2	1
GCCcore	9.3.0	-minimal	2
GCCcore	9.3.0	-nodocs	1
GCCcore	9.3.0	-no_mpi	1
GCCcore	9.3.0	-Python-3.8.2	32
GCCcore	9.3.0	-tools	1
GCCcore	9.3.0	-voices-20200330	1
GCCcore	9.4.0		6
GCCcore	9.5.0		6
GCCcore	10.1.0		7
GCCcore	10.2.0		488
GCCcore	10.2.0	-amd	1
GCCcore	10.2.0	-CUDA-11.1.1	3
GCCcore	10.2.0	-CUDA-11.2.1	2
GCCcore	10.2.0	-egl	1
GCCcore	10.2.0	-glx	1
GCCcore	10.2.0	-Java-1.8	1
GCCcore	10.2.0	-Java-1.8-Python-2.7.18	1
GCCcore	10.2.0	-Java-11	3
GCCcore	10.2.0	-Java-13	1
GCCcore	10.2.0	-minimal	2
GCCcore	10.2.0	-native-Java-1.8	1
GCCcore	10.2.0	-nodocs	1
GCCcore	10.2.0	-osmesa	1
GCCcore	10.2.0	-python	1
GCCcore	10.2.0	-Python-2.7.18	3
GCCcore	10.2.0	-Python-3.8.6	1
GCCcore	10.2.0	-tools	1
GCCcore	10.3.0		478
GCCcore	10.3.0	-amd	2
GCCcore	10.3.0	-bare	2
GCCcore	10.3.0	-CUDA-11.3.1	3
GCCcore	10.3.0	-Java-11	3
GCCcore	10.3.0	-largefiles	1
GCCcore	10.3.0	-minimal	2
GCCcore	10.3.0	-nodocs	1
GCCcore	10.3.0	-Perl-5.32.1	1
GCCcore	10.3.0	-python	1
GCCcore	10.3.0	-Python-2.7.18	1
GCCcore	10.3.0	-Python-3.9.5	1
GCCcore	10.3.0	-tools	1
GCCcore	11.1.0		6
GCCcore	11.2.0		495
GCCcore	11.2.0	-amd	2
GCCcore	11.2.0	-bare	2
GCCcore	11.2.0	-CUDA-11.4.1	4
GCCcore	11.2.0	-CUDA-11.5.2	2
GCCcore	11.2.0	-egl	1
GCCcore	11.2.0	-glx	1
GCCcore	11.2.0	-Java-11	7
GCCcore	11.2.0	-Java-11-Python-2.7.18	1
GCCcore	11.2.0	-minimal	1
GCCcore	11.2.0	-nodocs	1
