base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/apps	toolworks/totalview.8.7.0-5	toolworks	totalview.8.7.0-5	2009-11-19_18:53:09	5304	0	0	0
/sw/apps	turbomole/x86_64	turbomole	x86_64	2018-11-01_09:52:33	2035	0	0	1
/sw/apps	umap/0.3.7	umap	0.3.7	2019-01-08_16:10:06	1967	0	0	1
/sw/apps	UppASD/clean	UppASD	clean	2019-10-17_09:10:14	1685	0	1	1
/sw/apps	UppASD/rackham	UppASD	rackham	2019-10-17_09:32:54	1685	0	1	1
/sw/apps	Vampire/6.0	Vampire	6.0	2022-05-03_09:19:05	756	1	1	1
/sw/apps	Vapor/3.2.0	Vapor	3.2.0	2020-10-20_12:24:43	1316	0	1	1
/sw/apps	Vapor/3.3.0	Vapor	3.3.0	2021-02-17_09:44:45	1196	0	1	1
/sw/apps	vasp-vtst/5.3.3_tintin_intel_mkl	vasp-vtst	5.3.3_tintin_intel_mkl	2016-08-19_12:27:16	2839	0	0	1
/sw/apps	vasp-vtst/5.4.1_rackham_openmpi_intelmkl	vasp-vtst	5.4.1_rackham_openmpi_intelmkl	2019-06-24_10:38:47	1800	0	1	1
/sw/apps	vasp-wannier90/5.4.4_rackham_intel_mkl	vasp-wannier90	5.4.4_rackham_intel_mkl	2018-08-17_15:58:41	2111	0	0	1
/sw/apps	vasp/4.6.34_isis_pgi_acml	vasp	4.6.34_isis_pgi_acml	2010-10-21_16:29:09	4968	0	0	0
/sw/apps	vasp/4.6.34_tintin_intel_mkl	vasp	4.6.34_tintin_intel_mkl	2012-03-13_11:38:11	4459	0	0	0
/sw/apps	vasp/4.6_kalkyl_intel_mkl	vasp	4.6_kalkyl_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/4.6_milou_intel_mkl	vasp	4.6_milou_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/4.6_nestor_intel_mkl	vasp	4.6_nestor_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.2.11_kalkyl_intel_mkl	vasp	5.2.11_kalkyl_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.2.11_milou_intel_mkl	vasp	5.2.11_milou_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.2.11_nestor_intel_mkl	vasp	5.2.11_nestor_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.2.12_tintin_intel_mkl	vasp	5.2.12_tintin_intel_mkl	2014-01-23_14:57:46	3778	0	0	0
/sw/apps	vasp/5.2.8_kalkyl_intel_mkl	vasp	5.2.8_kalkyl_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.2.8_milou_intel_mkl	vasp	5.2.8_milou_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.2.8_nestor_intel_mkl	vasp	5.2.8_nestor_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.2_isis_intel_mkl	vasp	5.2_isis_intel_mkl	2010-10-21_16:25:44	4968	0	0	0
/sw/apps	vasp/5.2_kalkyl_intel_mkl	vasp	5.2_kalkyl_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.2_milou_intel_mkl	vasp	5.2_milou_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.2_nestor_intel_mkl	vasp	5.2_nestor_intel_mkl	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vasp/5.3.3_milou_intel_mkl	vasp	5.3.3_milou_intel_mkl	2017-11-10_11:43:45	2391	0	0	1
/sw/apps	vasp/5.3.3_nestor_intel_mkl	vasp	5.3.3_nestor_intel_mkl	2017-11-10_11:43:45	2391	0	0	1
/sw/apps	vasp/5.3.3_tintin_intel_mkl	vasp	5.3.3_tintin_intel_mkl	2016-12-28_13:54:20	2708	0	0	1
/sw/apps	vasp/5.4.1_rackham_intel_mkl	vasp	5.4.1_rackham_intel_mkl	2024-02-13_09:57:11	105	1	1	1
/sw/apps	vasp/5.4.1_rackham_openmpi_intelmkl	vasp	5.4.1_rackham_openmpi_intelmkl	2017-10-20_19:50:44	2412	0	0	1
/sw/apps	vasp/5.4.4_rackham_intel_mkl	vasp	5.4.4_rackham_intel_mkl	2024-02-20_09:50:35	98	1	1	1
/sw/apps	vasp/isis	vasp	isis	2010-06-24_13:29:25	5087	0	0	0
/sw/apps	vasp/kalkyl	vasp	kalkyl	2014-06-24_11:04:21	3626	0	0	1
/sw/apps	vasp/milou	vasp	milou	2014-06-24_11:04:21	3626	0	0	1
/sw/apps	vasp/nestor	vasp	nestor	2014-06-24_11:04:21	3626	0	0	1
/sw/apps	vasp/POTCARs	vasp	POTCARs	2020-04-29_13:35:10	1490	0	1	1
/sw/apps	vasp/x86_64	vasp	x86_64	2010-11-19_14:55:59	4939	0	0	0
/sw/apps	vaspsol/5.4.4_rackham_intel_mkl	vaspsol	5.4.4_rackham_intel_mkl	2019-08-23_09:17:18	1740	0	1	1
/sw/apps	vesta/3.1.7	vesta	3.1.7	2017-08-08_11:22:05	2485	0	0	1
/sw/apps	vim/8.0-1360	vim	8.0-1360	2018-09-25_13:48:14	2072	0	0	1
/sw/apps	vim/8.0-16	vim	8.0-16	2018-09-25_13:48:12	2072	0	0	1
/sw/apps	vim/8.1-1053	vim	8.1-1053	2019-03-26_15:16:55	1890	0	0	1
/sw/apps	vim/8.2.3701	vim	8.2.3701	2021-11-30_09:13:48	910	1	1	1
/sw/apps	VMD/1.9.3	VMD	1.9.3	2022-09-30_11:42:43	606	1	1	1
/sw/apps	VMD/1.9.4-alpha-57	VMD	1.9.4-alpha-57	2022-10-05_10:41:12	601	1	1	1
/sw/apps	vmtouch/1.3.1-20200309-4b70a9f	vmtouch	1.3.1-20200309-4b70a9f	2021-02-08_11:33:05	1205	0	1	1
/sw/apps	VSCodium/1.75.23040	VSCodium	1.75.23040	2023-02-23_10:36:24	460	1	1	1
/sw/apps	VSCodium/latest	VSCodium	latest	2023-02-23_10:36:24	460	1	1	1
/sw/apps	vtk-old/6.1.0_old	vtk-old	6.1.0_old	2014-02-05_16:45:05	3765	0	0	0
/sw/apps	vtk-old/vtkbin	vtk-old	vtkbin	2014-02-05_16:19:20	3765	0	0	0
/sw/apps	vtk-old/vtksrc	vtk-old	vtksrc	2014-01-22_16:55:41	3779	0	0	0
/sw/apps	vtk/6.1.0	vtk	6.1.0	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vtk/6.1.0_milou	vtk	6.1.0_milou	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	vtk/6.1.0_nestor	vtk	6.1.0_nestor	2014-06-16_10:49:41	3634	0	0	1
/sw/apps	wannier90/1.2_rackham_intel_mkl	wannier90	1.2_rackham_intel_mkl	2018-08-17_14:43:44	2111	0	0	1
/sw/apps	Whisper-gui/0.1	Whisper-gui	0.1	2024-03-14_13:43:19	75	1	1	1
/sw/apps	Whisper/0.5.1	Whisper	0.5.1	2023-11-17_10:45:07	193	1	1	1
/sw/apps	WhisperX/3.1.1	WhisperX	3.1.1	2024-02-19_11:59:35	99	1	1	1
/sw/apps	wine/7.0	wine	7.0	2023-09-25_09:13:11	246	1	1	1
/sw/apps	WPS/4.1	WPS	4.1	2020-09-21_15:26:44	1345	0	1	1
/sw/apps	WPS/4.3.1	WPS	4.3.1	2023-03-30_17:16:19	425	1	1	1
